iteration,lambda1,lambda2,accepted
10,0.31550199345145113,0.007349665459571539,T
20,1.0578430917920736,0.11955630977055444,T
30,1.0791267084336555,0.11159701868973676,T
40,1.1903096161591629,0.12342768825576207,T
50,1.22730944320885,0.12077772994520755,T
60,1.22730944320885,0.12077772994520755,T
70,1.2338771558439718,0.11461400192156805,T
80,1.2661275631376785,0.11291891441937335,T
90,1.2607193152203298,0.0927918915090194,T
100,1.2736693293874461,0.07255633256692831,T
110,1.3058133924316488,0.06985340700017506,T
120,1.5943849754947148,0.03956297531612634,T
130,1.628335653840724,0.004520172920671258,T
140,1.628335653840724,0.004520172920671258,T
150,1.628335653840724,0.004520172920671258,T
160,1.612828033905433,0.0011772365657759212,T
170,1.612828033905433,0.0011772365657759212,T
180,1.612828033905433,0.0011772365657759212,T
190,1.612828033905433,0.0011772365657759212,T
200,1.612828033905433,0.0011772365657759212,T
