iteration,lambda1,lambda2,accepted
10,1.1351133027077975,0.06613521960206784,T
20,1.1351133027077975,0.06613521960206784,T
30,1.4415936945007162,0.07877795622824722,T
40,1.4536761778248743,0.04903586020488225,T
50,1.4536761778248743,0.04903586020488225,T
60,1.5743923545071947,0.007189175841997308,T
70,1.624452322575449,0.0020257836281440044,T
80,1.624452322575449,0.0020257836281440044,T
90,1.624452322575449,0.0020257836281440044,T
100,1.6189603894059232,0.0008107781279001779,T
110,1.6189603894059232,0.0008107781279001779,T
120,1.6189603894059232,0.0008107781279001779,T
130,1.6189603894059232,0.0008107781279001779,T
140,1.6189603894059232,0.0008107781279001779,T
150,1.6189603894059232,0.0008107781279001779,T
160,1.6189603894059232,0.0008107781279001779,T
170,1.6189603894059232,0.0008107781279001779,T
180,1.6189603894059232,0.0008107781279001779,T
190,1.6189603894059232,0.0008107781279001779,T
200,1.6189603894059232,0.0008107781279001779,T
