iteration,lambda1,lambda2,accepted
10,-2.077950369683556,0.3024807762043171,T
20,-2.262367227944715,0.4369898358258647,T
30,-2.297148101635074,0.4957435291581776,T
40,-2.386474165649712,0.5325903523780854,T
50,-2.523038883954493,0.6089315865657015,T
60,-2.523038883954493,0.6089315865657015,T
70,-2.4957721703176117,0.6114499695798797,T
80,-2.4946488253203665,0.6239506412584588,T
90,-2.528969304632866,0.6456849638274113,T
100,-2.528969304632866,0.6456849638274113,T
110,-2.528969304632866,0.6456849638274113,T
120,-2.5483169533172405,0.667161251177401,T
130,-2.70311791988232,0.7799978975668773,T
140,-2.750629459763485,0.8350759992084863,T
150,-2.750629459763485,0.8350759992084863,T
160,-2.769681638657029,0.8658089288342053,T
170,-2.769681638657029,0.8658089288342053,T
180,-2.769681638657029,0.8658089288342053,T
190,-2.769681638657029,0.8658089288342053,T
200,-2.797441244838771,0.9022390491585428,T
