iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
1,0.4229356594756478,-0.01739635789844832,Invalid,No DR,0.0
2,0.4229356594756478,-0.01739635789844832,Invalid,No DR,0.0
3,1.1965525009883269,-0.05268532106472262,Invalid,No DR,0.0
4,1.1965525009883269,-0.05268532106472262,Invalid,No DR,0.0
5,1.6005939124489734,-0.11119342060732473,Invalid,No DR,0.0
6,1.6005939124489734,-0.11119342060732473,Invalid,No DR,0.0
7,1.9558746122778943,-0.16110679363223948,Invalid,No DR,0.0
8,1.9164188082480704,-0.30042616838423275,Invalid,No DR,0.0
9,2.0672670803975968,-0.3141563157376581,Invalid,No DR,0.0
10,1.4812462067551848,-0.27560383640583863,Invalid,No DR,0.0
11,2.3172307092072146,-0.3812998351054567,Invalid,No DR,0.0
12,3.1436175626514262,-0.26824569985181973,Invalid,No DR,0.0
13,3.6161548907643737,-0.2219637152626716,Invalid,No DR,0.0
14,3.788883189629079,-0.24470238160562527,Invalid,No DR,0.0
15,4.421456757590139,-0.26726308063824056,Invalid,No DR,0.0
16,4.381497065123043,-0.4734477551232207,Invalid,No DR,0.0
17,4.183259156091332,-0.37766849606295033,Invalid,No DR,0.0
18,5.11455280106511,-0.3229318397711258,Invalid,No DR,0.0
19,6.675263441254854,-0.47764895059661305,Invalid,No DR,0.0
20,6.360970956288061,-0.4643061495100526,Invalid,No DR,0.0
21,6.667306477731136,-0.6040736729042265,Invalid,No DR,0.0
22,10.104645671714911,-0.8657312029136592,Invalid,No DR,0.0
23,14.12193384585464,-1.2329370715719956,Invalid,No DR,0.0
24,14.989511147432397,-1.1881970041138898,Invalid,No DR,0.0
25,9.937064293084475,-0.44197359548412707,Invalid,No DR,0.0
26,17.662295651205405,-0.8790022201173056,Invalid,No DR,0.0
27,17.167268164497948,-0.8114193799197934,Invalid,No DR,0.0
28,12.959902555988787,-0.627863584954628,Invalid,No DR,0.0
29,8.36698398367906,-0.1796053716064795,Invalid,No DR,0.0
30,8.448801801370886,-0.21927243111470185,Invalid,No DR,0.0
31,18.54430434008591,-0.27229854281930843,Invalid,No DR,0.0
32,36.8628311820637,-1.3198937924339456,Invalid,No DR,0.0
33,41.44637529676259,-1.4409959459622306,Invalid,No DR,0.0
34,48.923718937179636,-1.891800367447504,Invalid,No DR,0.0
35,46.09895074359126,-1.7984579229590236,Invalid,No DR,0.0
36,46.0206063039129,-1.4250526894952755,Invalid,No DR,0.0
37,48.84978671544564,-1.6606584313059782,Invalid,No DR,0.0
38,45.39614681457334,-2.174615886300676,Invalid,No DR,0.0
39,39.89891882134778,-1.7940707881579674,Invalid,No DR,0.0
40,32.920482087751644,-1.3575177125248616,Invalid,No DR,0.0
41,36.41654152202884,-1.0433402020758837,Invalid,No DR,0.0
42,36.41654152202884,-1.0433402020758837,Invalid,No DR,0.0
43,100.98173537685744,-3.6309399666638957,Invalid,No DR,0.0
44,65.81601271498047,-1.5936732526479145,Invalid,No DR,0.0
45,66.84305933023504,-1.6511510913940481,Invalid,No DR,0.0
46,95.64397390850476,-1.8218966882608463,Invalid,No DR,0.0
47,115.9521532377036,-2.460771287808235,Invalid,No DR,0.0
48,96.09623260538646,-1.744481043323607,Invalid,No DR,0.0
49,74.32402574504111,-0.7630899892540978,Invalid,No DR,0.0
50,109.60621167606257,-2.423852162448638,Invalid,No DR,0.0
51,80.80521005182445,-2.9441492907870725,Invalid,No DR,0.0
52,160.96488821095392,-3.581689334472478,Invalid,No DR,0.0
53,116.37477361265343,-2.7478173529770893,Invalid,No DR,0.0
54,100.29852194213802,-2.1849464131409158,Invalid,No DR,0.0
55,158.22996702567912,-3.8124831378651263,Invalid,No DR,0.0
56,161.3294510788783,-3.6696078173066895,Invalid,No DR,0.0
57,137.29306892997505,-4.13750050625796,Invalid,No DR,0.0
58,66.87400397954305,-2.11229092435455,Invalid,No DR,0.0
59,49.49963062030312,-2.0233211849540345,Invalid,No DR,0.0
60,114.93786716730729,-4.251550059684315,Invalid,No DR,0.0
61,264.6310308860847,-6.130128579661821,Invalid,No DR,0.0
62,268.17315521967413,-6.254694112157759,Invalid,No DR,0.0
63,342.63747772054364,-7.85886672051808,Invalid,No DR,0.0
64,342.63747772054364,-7.85886672051808,Invalid,No DR,0.0
65,327.93762535095476,-7.933355456655389,Invalid,No DR,0.0
66,323.86970452144345,-7.621475439704537,Invalid,No DR,0.0
67,314.66175092664025,-7.616547247625498,Invalid,No DR,0.0
68,314.66175092664025,-7.616547247625498,Invalid,No DR,0.0
69,314.66175092664025,-7.616547247625498,Invalid,No DR,0.0
70,314.66175092664025,-7.616547247625498,Invalid,No DR,0.0
71,314.66175092664025,-7.616547247625498,Invalid,No DR,0.0
72,314.66175092664025,-7.616547247625498,Invalid,No DR,0.0
73,314.66175092664025,-7.616547247625498,Invalid,No DR,0.0
