iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
10,-1.590033932269362,0.15457913585660518,T,No DR,1.0000
20,-1.8163293894466248,0.17804759539355794,T,No DR,1.0000
30,-2.1218575161871103,0.283283707472785,T,No DR,1.0000
40,-2.0825735072991343,0.34698288222800383,T,No DR,1.0000
50,-2.158302840273852,0.3746610263154506,T,No DR,1.0000
60,-2.173835614924306,0.3712791102555027,T,No DR,1.0000
70,-2.1850480061946818,0.3855180362309836,T,No DR,1.0000
80,-2.4369612272096544,0.5790634113484983,T,No DR,1.0000
90,-2.4369612272096544,0.5790634113484983,T,No DR,1.0000
100,-2.4746407877769245,0.585320611625314,T,No DR,1.0000
110,-2.4746407877769245,0.585320611625314,T,No DR,1.0000
