iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
10,-5.538073902668467,0.31253217450841825,T,No DR,1.0000
20,-4.8809881812384,0.26885675013045984,T,No DR,1.0000
30,-5.1087350594750935,0.4413479043405436,T,No DR,1.0000
40,-5.103069377930217,0.47013535528282346,T,No DR,1.0000
50,-4.962782708503051,0.3425007333028941,T,No DR,1.0000
60,-4.852590024139323,0.35395245002886755,T,No DR,1.0000
70,-5.425019110474824,0.15415756777905448,T,No DR,1.0000
80,-6.2775666597162685,0.39257809944326694,T,No DR,1.0000
90,-4.426168881098414,-0.22305691423078267,T,No DR,1.0000
100,-4.468343563496967,-0.6374459877271308,T,No DR,1.0000
110,-5.0555611062018855,-1.3222685508745278,T,No DR,1.0000
120,-3.4889797070759445,-1.8539613984343366,T,No DR,1.0000
130,-2.42456386188166,-3.3137329328964635,T,No DR,1.0000
140,-1.6341488720756785,-8.647014674770475,T,No DR,1.0000
150,-1.7854466333141745,-5.550727745817735,T,No DR,1.0000
160,-3.774123591430306,-2.8916488388525203,T,No DR,1.0000
170,-5.49856308151128,-6.056670418231393,T,No DR,1.0000
180,-3.7437278384907966,-14.416419668030697,T,No DR,1.0000
190,-4.379722138822089,-26.429883104683363,T,No DR,1.0000
200,-1.9193315307852226,-33.72151760722309,T,No DR,1.0000
