iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
1,0.2960987063479465,-0.08374687574203218,Invalid,No DR,0.0
2,-0.3860236373918972,-0.07430347969729896,Invalid,No DR,0.0
3,0.5437144400986296,-0.07008423914368307,Invalid,No DR,0.0
4,0.6541332189989412,-0.015649254214474405,Invalid,No DR,0.0
5,1.1794871164583234,-0.07412626046696111,Invalid,No DR,0.0
6,1.1794871164583234,-0.07412626046696111,Invalid,No DR,0.0
7,2.514485801182981,-0.19534374300100474,Invalid,No DR,0.0
8,2.4282690793378867,-0.16844416869615308,Invalid,No DR,0.0
9,1.2402389539039378,-0.06013473634719631,Invalid,No DR,0.0
10,0.23241479805982013,-0.10693375069268743,Invalid,No DR,0.0
11,0.23241479805982013,-0.10693375069268743,Invalid,No DR,0.0
12,0.2579047899581274,-0.442818663790736,Invalid,No DR,0.0
13,1.1364703203612025,-0.6582478584635012,Invalid,No DR,0.0
14,1.8886461299154096,-0.6469381456637694,Invalid,No DR,0.0
15,2.06922099118968,-0.8734558183052104,Invalid,No DR,0.0
16,2.9715656418004723,-1.015495161060787,Invalid,No DR,0.0
17,2.6067893019076305,-0.9920722386808288,Invalid,No DR,0.0
18,3.456140177814154,-0.9336122968831275,Invalid,No DR,0.0
19,2.295377375743753,-1.207037381675033,Invalid,No DR,0.0
20,2.6407550301184544,-0.9078273150316448,Invalid,No DR,0.0
21,5.722310062055748,-2.214193325292833,Invalid,No DR,0.0
22,4.233245353736385,-1.647412132667188,Invalid,No DR,0.0
23,1.6669466106306547,-0.6017581256131572,Invalid,No DR,0.0
24,1.6669466106306547,-0.6017581256131572,Invalid,No DR,0.0
25,1.7682397125444924,-0.5500018710712051,Invalid,No DR,0.0
26,3.4390032191791944,-1.4609658227510463,Invalid,No DR,0.0
27,0.7903408635103548,-1.046813257170807,Invalid,No DR,0.0
28,-0.5492213414682792,-1.8567949529474352,Invalid,No DR,0.0
29,-0.27297357903023184,-2.5083863086590052,Invalid,No DR,0.0
30,2.1784498331608737,-4.37100803253135,Invalid,No DR,0.0
31,1.1167632399257967,-6.695944756813866,Invalid,No DR,0.0
32,-2.074957530262764,-7.151130327491876,Invalid,No DR,0.0
33,-3.7053564742801792,-4.295981341942591,Invalid,No DR,0.0
34,-6.419305328372147,-4.058915996057561,Invalid,No DR,0.0
35,-5.076789694878976,-5.35868548937893,Invalid,No DR,0.0
36,-8.265710793315655,-5.402741384836895,Invalid,No DR,0.0
37,-11.66099680703497,-4.885528745125512,Invalid,No DR,0.0
38,-10.53652135623803,-7.010646782888793,Invalid,No DR,0.0
39,-9.73107980705728,-5.50985529945032,Invalid,No DR,0.0
40,-11.888616896093867,-2.6278721690423192,Invalid,No DR,0.0
41,-14.758906583758664,-4.17465007570973,Invalid,No DR,0.0
42,-16.832020411658558,-5.295809874824607,Invalid,No DR,0.0
43,-12.297554030210431,-1.0159754528742315,Invalid,No DR,0.0
44,-13.32084957922383,-3.7860804045693444,Invalid,No DR,0.0
45,-18.95476196949173,-1.7866779345260306,Invalid,No DR,0.0
46,-18.781672439105748,-3.702398612951872,Invalid,No DR,0.0
47,-23.21547850022076,-2.0841079651746206,Invalid,No DR,0.0
50,-12.9630001797453,1.2368233853206516,T,No DR,0.0600
60,-9.969809086112367,5.3723163312522955,T,No DR,0.2167
70,-1.0485811392051851,17.518186505369258,T,No DR,0.3286
