iteration,v1_log,alpha_log,status,
10,-1.7066232577031504,0.15133819549725167,
20,-2.0161567126564597,0.28219246756632355,
30,-2.0161567126564597,0.28219246756632355,
40,-2.103097776405458,0.3419425602746433,
50,-2.246899667845606,0.38843101877688513,
60,-2.2771733209043754,0.46119333611166113,
70,-2.3591960627075363,0.4804499210745188,
80,-2.3591960627075363,0.4804499210745188,
90,-2.4020509891169213,0.5073469337935741,
100,-2.407511649667761,0.5719571813954645,
110,-2.7087201269703436,0.7766011425602259,
120,-2.652403228804317,0.7722929576049997,
130,-3.177118744677558,1.2963260478489764,
140,-3.350089570836219,1.4000103784287117,
150,-3.350089570836219,1.4000103784287117,
160,-3.350089570836219,1.4000103784287117,
170,-3.370263524726418,1.4384945946122372,
180,-3.370263524726418,1.4384945946122372,
190,-3.370263524726418,1.4384945946122372,
200,-3.370263524726418,1.4384945946122372,
