iteration,lambda1,lambda2,accepted,delayed_rejection
10,-0.5236789838301312,0.011775070084415105,T,No DR
20,-1.8681099529046719,0.1548383298039288,T,No DR
30,-2.0203414194784757,0.26828980352453474,T,No DR
40,-2.1148469048863228,0.3147755989393683,T,No DR
50,-5.27870432410614,0.7303407349969611,T,No DR
60,-5.27870432410614,0.7303407349969611,T,No DR
70,-5.321481934217175,0.754075059399449,T,No DR
80,-5.255611266117399,0.6737689523424792,T,No DR
90,-5.550296860980668,0.7415308104850984,T,No DR
100,-6.2042691664368315,0.8236165372306742,T,No DR
