iteration,lambda1,lambda2,accepted,delayed_rejection
10,1.421798449184355,0.014347395319791779,T,No DR
20,1.5769005879967164,0.0021326183361716506,T,No DR
30,1.5769005879967164,0.0021326183361716506,T,No DR
40,1.5769005879967164,0.0021326183361716506,T,No DR
50,1.6192578344635846,0.0025256444403191436,T,No DR
60,1.6554665773828647,0.0028979219428862963,T,No DR
70,1.6554665773828647,0.0028979219428862963,T,No DR
80,1.6554665773828647,0.0028979219428862963,T,No DR
90,1.6198813418428917,0.0006406606348145073,T,No DR
100,1.6198813418428917,0.0006406606348145073,T,No DR
