iteration,lambda1,lambda2,accepted,delayed_rejection
10,1.645728071111432,-0.043756869338134885,T,No DR
20,1.645728071111432,-0.043756869338134885,T,No DR
30,1.6843870732720991,-0.07826855885133538,T,No DR
40,1.6843870732720991,-0.07826855885133538,T,No DR
50,1.6843870732720991,-0.07826855885133538,T,No DR
60,1.6944074673182516,-0.09183118318459665,T,No DR
70,1.6944074673182516,-0.09183118318459665,T,No DR
80,1.6944074673182516,-0.09183118318459665,T,No DR
90,1.6984866315169107,-0.09418972272065586,T,No DR
100,1.7005973142222566,-0.09760735180928395,T,No DR
