iteration,lambda1,lambda2,accepted
10,-1.5822427178987484,0.07826862069626721,T
20,-1.9807690412854977,0.34545222767920464,T
30,-2.2278534968202335,0.38972960082530506,T
40,-2.3917568109387934,0.4995307027021867,T
50,-2.305814950162025,0.47814426685218986,T
60,-2.5366953093495455,0.6906712608570131,T
70,-2.818733858239498,0.8499312814823852,T
80,-2.782430171853749,0.8446155581000433,T
90,-2.782430171853749,0.8446155581000433,T
100,-2.782430171853749,0.8446155581000433,T
110,-2.782430171853749,0.8446155581000433,T
120,-2.7610222128049533,0.845799976691945,T
130,-2.7610222128049533,0.845799976691945,T
140,-2.7610222128049533,0.845799976691945,T
150,-2.7610222128049533,0.845799976691945,T
160,-2.7610222128049533,0.845799976691945,T
170,-2.7610222128049533,0.845799976691945,T
180,-2.7610222128049533,0.845799976691945,T
190,-2.7610222128049533,0.845799976691945,T
200,-2.7610222128049533,0.845799976691945,T
