iteration,lambda1,lambda2,accepted
10,1.0161407855717863,0.13951481710774663,T
20,1.2059213947799525,0.050480833738734895,T
30,1.5992513611908767,0.03457620069463582,T
40,1.6631936913586174,0.015286634418324571,T
50,1.6631936913586174,0.015286634418324571,T
60,1.4900511392887166,0.02354122168937838,T
70,1.6354291933526768,0.005591441033640895,T
80,1.6354291933526768,0.005591441033640895,T
90,1.6354291933526768,0.005591441033640895,T
100,1.6354291933526768,0.005591441033640895,T
110,1.6354291933526768,0.005591441033640895,T
120,1.6354291933526768,0.005591441033640895,T
130,1.6341938050162035,0.005273587367815704,T
140,1.6341938050162035,0.005273587367815704,T
150,1.6665531721961422,0.001368324337251781,T
160,1.6497737264639738,0.0021158325524062377,T
170,1.6497737264639738,0.0021158325524062377,T
180,1.6497737264639738,0.0021158325524062377,T
190,1.6497737264639738,0.0021158325524062377,T
200,1.6521293399392598,0.0011186030956092986,T
