iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
1,2.102851714904702,-0.43208643254182344,Invalid,No DR,0.0
2,1.8034742688587895,-1.0111939079217065,Invalid,No DR,0.0
3,1.8891658075386064,-0.8838786081605007,Invalid,No DR,0.0
4,0.16502773695962714,-0.9585480525841985,Invalid,No DR,0.0
5,-0.7288921214791034,-0.8041487521160966,Invalid,No DR,0.0
6,1.2591812204518131,-0.9972351179454135,Invalid,No DR,0.0
7,1.615029661327263,-1.1584928265406402,Invalid,No DR,0.0
8,1.2676603355243115,-1.2368576433015366,Invalid,No DR,0.0
9,2.0595074188356217,-1.124887270127391,Invalid,No DR,0.0
10,1.587900694699917,-1.003262895792628,Invalid,No DR,0.0
11,-0.5947115723150351,-0.8401482170711879,Invalid,No DR,0.0
12,-0.11459758647787688,-0.7819126325625121,Invalid,No DR,0.0
13,0.4331462856829492,-1.0623383843949488,Invalid,No DR,0.0
14,-0.8888164091096654,-0.7696345607123323,Invalid,No DR,0.0
15,0.7324449489903512,-1.1008577343250416,Invalid,No DR,0.0
16,-0.2348380471901368,-1.0589902745456439,Invalid,No DR,0.0
17,1.2483910477677855,-1.0415291453133262,Invalid,No DR,0.0
18,0.9745766899827834,-0.8703299584253714,Invalid,No DR,0.0
19,-0.3285355671209177,-0.8875063270744014,Invalid,No DR,0.0
20,0.4791734053437545,-0.7274440880668505,Invalid,No DR,0.0
21,1.9038088870001535,-0.2558205529309028,Invalid,No DR,0.0
22,1.9038088870001535,-0.2558205529309028,Invalid,No DR,0.0
23,3.1531841948209616,-0.873470449333813,Invalid,No DR,0.0
24,7.552008937591839,-0.7705684438857966,Invalid,No DR,0.0
25,7.752379119174131,-0.38488196793696405,Invalid,No DR,0.0
26,7.935538704969075,-0.7921810950898707,Invalid,No DR,0.0
27,7.946249136611275,-0.6747483707604623,Invalid,No DR,0.0
28,8.377790471289707,-0.432204807050405,Invalid,No DR,0.0
29,9.159681233634604,-0.3080291101507434,Invalid,No DR,0.0
30,7.8618942128127856,0.07172311048957436,T,No DR,0.0333
40,-6.8299108083064235,0.6836103640713149,T,No DR,0.2750
50,-4.7404670244579545,0.17566138922066443,T,No DR,0.4200
60,-4.696602659765894,0.07230087195536997,T,No DR,0.5167
70,-4.696602659765894,0.07230087195536997,T,No DR,0.5857
80,-4.696602659765894,0.07230087195536997,T,No DR,0.6375
90,-4.696602659765894,0.07230087195536997,T,No DR,0.6778
100,-4.696602659765894,0.07230087195536997,T,No DR,0.7100
