iteration,lambda1,lambda2,accepted,delayed_rejection
10,-5.002106598936932,0.14837118060248006,T,No DR
20,-3.667659200109113,-1.1272297069195851,T,No DR
30,-2.209634773948431,-2.7660280121642113,T,No DR
40,-3.0921210444284526,-3.8030423339074004,T,No DR
50,-2.96469440752968,-4.323720900147411,T,No DR
60,-4.994444544601746,-11.477285041268912,T,No DR
70,-3.301444248390316,-15.893763122756187,T,No DR
80,-2.1543804705955876,-8.756816970648638,T,No DR
90,-1.8146313459252343,-3.2762005735290067,T,No DR
100,0.05059165608327998,4.361650293740773,T,No DR
