iteration,lambda1,lambda2,accepted,delayed_rejection
10,1.457188882860568,0.012556657472505,T,No DR
20,1.513270495827305,0.008787017273908206,T,No DR
30,1.5912655122284975,0.0008953079958233991,T,No DR
40,1.5912655122284975,0.0008953079958233991,T,No DR
50,1.5912655122284975,0.0008953079958233991,T,No DR
60,1.5087551921323863,0.0005022755435958383,T,No DR
70,1.5087551921323863,0.0005022755435958383,T,No DR
80,1.5087551921323863,0.0005022755435958383,T,No DR
90,1.5087551921323863,0.0005022755435958383,T,No DR
100,1.641251145420429,4.819751482230104e-05,T,No DR
