iteration,lambda1,lambda2,accepted,delayed_rejection
10,-1.8789115779154222,0.1958133865328674,T,No DR
20,-2.032856833661538,0.28114911920242025,T,No DR
30,-2.106021899924874,0.3014701898060915,T,No DR
40,-2.152217943808717,0.3530988341616067,T,No DR
50,-2.1906726435354997,0.36206100512793965,T,No DR
60,-2.282618092425803,0.41634013798949415,T,No DR
70,-2.246240548905494,0.4297786343636123,T,No DR
80,-2.3546158344165056,0.5016878706959568,T,No DR
90,-2.3546158344165056,0.5016878706959568,T,No DR
100,-2.425276256883414,0.5530516553497065,T,No DR
